Date|Time|Location|Wind Direction|Wind Speed (kts)|Weather|Temp (C)|Humidity (%)|Rain (mm)|Pressure (hPa)
6-DEC-2017|12:00|ATHENRY GALWAY(A)|S|11 Gust 23|--|12|87|0.0|1013
6-DEC-2017|12:00|BALLYHAISE CAVAN(A)|S|13|CLOUDY|11|89|0.0|1013
6-DEC-2017|12:00|BELMULLET(A)|S|26 Gust 35|LIGHT RAIN|12|97|0.4|1009
6-DEC-2017|12:00|CASEMENT AERODROME|S|25 Gust 41|CLOUDY|11|83|0.0|1016
6-DEC-2017|12:00|CLAREMORRIS(A)|S|12 Gust 26|--|10|97|0.6|1012
6-DEC-2017|12:00|CORK AIRPORT|S|19 Gust 32|RAIN/DRIZZLE|10|100|0.9|1018
6-DEC-2017|12:00|DUBLIN AIRPORT|S|18 Gust 30|RECENT RAIN|11|80|Trace|1017
6-DEC-2017|12:00|DUNSANY MEATH(A)|S|17|--|11|86|0.0|1016
6-DEC-2017|12:00|FINNER DONEGAL(A)|S|23 Gust 36|CLOUDY|12|84|0.0|1010
6-DEC-2017|12:00|GURTEEN TIPPERARY(A|S|19|RECENT DRIZZLE|12|88|Trace|1015
6-DEC-2017|12:00|JOHNSTOWN CASTLE(A)|S|17 Gust 27|RAIN SHOWER|11|91|0.2|1020
6-DEC-2017|12:00|KNOCK AIRPORT(P)|S|18 Gust 33|LIGHT DRIZZLE|10|97|0.2|1012
6-DEC-2017|12:00|MACE HEAD GALWAY(A)|S|24|RAIN SHOWER|12|96|0.4|1011
6-DEC-2017|12:00|MALIN HEAD(A)|S|24 Gust 35|CLOUDY|11|85|0.0|1010
6-DEC-2017|12:00|MARKREE SLIGO(A)|--|--|--|11|92|0.0|1012
6-DEC-2017|12:00|MOOREPARK CORK(A)|S|07 Gust 22|--|11|94|0.5|1018
6-DEC-2017|12:00|MT DILLON ROSCOM(A)|S|11 Gust 22|--|11|93|0.0|1014
6-DEC-2017|12:00|MULLINGAR(A)|S|12|RAIN SHOWER|10|93|0.3|1015
6-DEC-2017|12:00|NEWPORT MAYO(A)|S|12|--|12|89|0.0|1010
6-DEC-2017|12:00|OAK PARK CARLOW(A)|S|18 Gust 28|CLOUDY|11|87|0.0|1018
6-DEC-2017|12:00|PHOENIX PARK(A)|--|--|--|12|78|0.0|1016
6-DEC-2017|12:00|ROCHES POINT(A)|S|25 Gust 34|RAIN SHOWER|11|98|0.1|1018
6-DEC-2017|12:00|SHANNON AIRPORT|S|18|CLOUDY|13|82|0.0|1014
6-DEC-2017|12:00|SHERKIN ISLAND(A)|S|26|MIST|12|97|0.4|1016
6-DEC-2017|12:00|VALENTIA(A)|S|19 Gust 33|RECENT RAIN|13|96|0.4|1014
6-DEC-2017|13:00|ATHENRY GALWAY(A)|S|12|--|12|84|0.0|1012
6-DEC-2017|13:00|BALLYHAISE CAVAN(A)|S|13|RAIN SHOWER|11|93|0.2|1012
6-DEC-2017|13:00|BELMULLET(A)|S|28 Gust 36|RAIN SHOWER|12|97|0.3|1007
6-DEC-2017|13:00|CASEMENT AERODROME|SW|23 Gust 43|CLOUDY|11|85|0.0|1014
6-DEC-2017|13:00|CLAREMORRIS(A)|S|12|--|11|97|0.8|1011
6-DEC-2017|13:00|CORK AIRPORT|S|20 Gust 31|RAIN/DRIZZLE|10|100|1.0|1016
6-DEC-2017|13:00|DUBLIN AIRPORT|SW|15 Gust 33|CLOUDY|11|83|0.0|1015
6-DEC-2017|13:00|DUNSANY MEATH(A)|S|17 Gust 31|--|11|89|0.0|1015
6-DEC-2017|13:00|FINNER DONEGAL(A)|S|22 Gust 33|CLOUDY|12|84|0.0|1009
6-DEC-2017|13:00|GURTEEN TIPPERARY(A|S|20 Gust 31|CLOUDY|12|86|0.0|1013
6-DEC-2017|13:00|JOHNSTOWN CASTLE(A)|S|16 Gust 28|RAIN SHOWER|11|94|0.8|1019
6-DEC-2017|13:00|KNOCK AIRPORT(P)|S|16 Gust 32|RAIN/DRIZZLE|10|97|0.3|1010
6-DEC-2017|13:00|MACE HEAD GALWAY(A)|S|24|MIST|12|96|0.0|1010
6-DEC-2017|13:00|MALIN HEAD(A)|S|22 Gust 36|CLOUDY|11|85|0.0|1008
6-DEC-2017|13:00|MARKREE SLIGO(A)|--|--|--|11|94|0.1|1010
6-DEC-2017|13:00|MOOREPARK CORK(A)|S|12|--|11|92|0.4|1016
6-DEC-2017|13:00|MT DILLON ROSCOM(A)|S|13 Gust 25|--|12|87|0.0|1012
6-DEC-2017|13:00|MULLINGAR(A)|S|10 Gust 21|RECENT DRIZZLE|11|90|0.3|1014
6-DEC-2017|13:00|NEWPORT MAYO(A)|S|15|--|13|86|0.0|1009
6-DEC-2017|13:00|OAK PARK CARLOW(A)|S|19 Gust 29|CLOUDY|11|89|0.0|1016
6-DEC-2017|13:00|PHOENIX PARK(A)|--|--|--|12|80|0.0|1015
6-DEC-2017|13:00|ROCHES POINT(A)|S|26 Gust 34|LIGHT RAIN|11|99|0.7|1016
6-DEC-2017|13:00|SHANNON AIRPORT|S|11 Gust 23|CLOUDY|13|83|0.0|1013
6-DEC-2017|13:00|SHERKIN ISLAND(A)|S|25 Gust 36|MIST|12|97|0.2|1015
6-DEC-2017|13:00|VALENTIA(A)|S|17 Gust 29|RAIN SHOWER|13|97|Trace|1013
6-DEC-2017|14:00|ATHENRY GALWAY(A)|S|11 Gust 22|--|13|85|0.0|1010
6-DEC-2017|14:00|BALLYHAISE CAVAN(A)|S|11 Gust 24|RECENT DRIZZLE|11|89|0.1|1011
6-DEC-2017|14:00|BELMULLET(A)|S|28 Gust 38|MIST|12|97|0.0|1005
6-DEC-2017|14:00|CASEMENT AERODROME|SW|24 Gust 42|CLOUDY|11|86|0.0|1014
6-DEC-2017|14:00|CLAREMORRIS(A)|S|10 Gust 21|--|11|97|0.7|1009
6-DEC-2017|14:00|CORK AIRPORT|S|19 Gust 31|RAIN/DRIZZLE|11|100|0.6|1015
6-DEC-2017|14:00|DUBLIN AIRPORT|SW|15 Gust 28|CLOUDY|12|83|0.0|1014
6-DEC-2017|14:00|DUNSANY MEATH(A)|S|18 Gust 29|--|11|89|0.0|1013
6-DEC-2017|14:00|FINNER DONEGAL(A)|S|15 Gust 28|CLOUDY|13|84|0.0|1008
6-DEC-2017|14:00|GURTEEN TIPPERARY(A|S|17|CLOUDY|12|86|0.0|1012
6-DEC-2017|14:00|JOHNSTOWN CASTLE(A)|SW|16 Gust 30|RAIN SHOWER|10|95|0.5|1017
6-DEC-2017|14:00|KNOCK AIRPORT(P)|S|16 Gust 26|RAIN/DRIZZLE|10|97|0.4|1009
6-DEC-2017|14:00|MACE HEAD GALWAY(A)|S|25 Gust 34|RECENT DRIZZLE|12|97|0.2|1008
6-DEC-2017|14:00|MALIN HEAD(A)|S|21 Gust 35|CLOUDY|12|85|0.0|1007
6-DEC-2017|14:00|MARKREE SLIGO(A)|--|--|--|12|91|0.1|1009
6-DEC-2017|14:00|MOOREPARK CORK(A)|S|10 Gust 23|--|12|92|0.3|1014
6-DEC-2017|14:00|MT DILLON ROSCOM(A)|S|11 Gust 22|--|12|86|0.0|1011
6-DEC-2017|14:00|MULLINGAR(A)|S|13 Gust 23|CLOUDY|11|90|0.0|1012
6-DEC-2017|14:00|NEWPORT MAYO(A)|S|13 Gust 24|--|13|88|0.0|1007
6-DEC-2017|14:00|OAK PARK CARLOW(A)|S|17 Gust 29|CLOUDY|11|90|0.0|1015
6-DEC-2017|14:00|PHOENIX PARK(A)|--|--|--|12|79|0.0|1014
